ED_num,AD_num,zohran25,cuomo25,lander25,total25,districtid,public_housing,selected_devs,cuomo_share,mamdani_share,lander_share,leader_name,category
ED    3,AD 60,29,88,2,133,60003,TRUE,FALSE,0.6616541353383458,0.21804511278195488,0.015037593984962405,Cuomo,Cuomo 60‑80%
ED    3,AD 61,40,145,1,200,61003,FALSE,FALSE,0.725,0.2,0.005,Cuomo,Cuomo 60‑80%
ED    3,AD 62,45,46,4,104,62003,FALSE,FALSE,0.4423076923076923,0.4326923076923077,0.038461538461538464,Cuomo,Cuomo 40‑60%
ED    3,AD 63,35,58,6,120,63003,FALSE,FALSE,0.48333333333333334,0.2916666666666667,0.05,Cuomo,Cuomo 40‑60%
ED    3,AD 64,43,59,7,122,64003,FALSE,FALSE,0.48360655737704916,0.3524590163934426,0.05737704918032787,Cuomo,Cuomo 40‑60%
ED    3,AD 65,204,108,53,404,65003,FALSE,FALSE,0.26732673267326734,0.504950495049505,0.1311881188118812,Mamdani,Mamdani 40‑60%
ED    3,AD 66,149,83,80,337,66003,FALSE,FALSE,0.24629080118694363,0.4421364985163205,0.23738872403560832,Mamdani,Mamdani 40‑60%
ED    3,AD 67,90,208,171,524,67003,FALSE,FALSE,0.3969465648854962,0.1717557251908397,0.32633587786259544,Cuomo,Cuomo 0‑40%
ED    3,AD 68,17,66,0,99,68003,FALSE,FALSE,0.6666666666666666,0.1717171717171717,0,Cuomo,Cuomo 60‑80%
ED    3,AD 69,42,95,3,170,69003,TRUE,FALSE,0.5588235294117647,0.24705882352941178,0.01764705882352941,Cuomo,Cuomo 40‑60%
ED    3,AD 70,114,131,11,307,70003,FALSE,FALSE,0.42671009771986973,0.3713355048859935,0.035830618892508145,Cuomo,Cuomo 40‑60%
ED    3,AD 71,272,155,208,727,71003,FALSE,FALSE,0.21320495185694635,0.3741403026134801,0.2861072902338377,Mamdani,Mamdani 0‑40%
ED    3,AD 72,81,53,12,160,72003,FALSE,FALSE,0.33125,0.50625,0.075,Mamdani,Mamdani 40‑60%
ED    3,AD 73,138,111,47,326,73003,FALSE,FALSE,0.34049079754601225,0.4233128834355828,0.1441717791411043,Mamdani,Mamdani 40‑60%
ED    3,AD 74,130,147,73,392,74003,FALSE,FALSE,0.375,0.33163265306122447,0.18622448979591838,Cuomo,Cuomo 0‑40%
ED    3,AD 75,146,246,104,547,75003,FALSE,FALSE,0.44972577696526506,0.26691042047531993,0.19012797074954296,Cuomo,Cuomo 40‑60%
ED    3,AD 76,67,178,57,334,76003,FALSE,FALSE,0.5329341317365269,0.20059880239520958,0.17065868263473055,Cuomo,Cuomo 40‑60%
ED    3,AD 77,53,98,1,169,77003,FALSE,FALSE,0.5798816568047337,0.3136094674556213,0.005917159763313609,Cuomo,Cuomo 40‑60%
ED    3,AD 78,31,95,2,143,78003,FALSE,FALSE,0.6643356643356644,0.21678321678321677,0.013986013986013986,Cuomo,Cuomo 60‑80%
ED    3,AD 79,48,83,0,147,79003,FALSE,FALSE,0.564625850340136,0.32653061224489793,0,Cuomo,Cuomo 40‑60%
ED    3,AD 80,48,46,1,100,80003,FALSE,FALSE,0.46,0.48,0.01,Mamdani,Mamdani 40‑60%
ED    3,AD 81,33,56,5,101,81003,FALSE,FALSE,0.5544554455445545,0.32673267326732675,0.04950495049504951,Cuomo,Cuomo 40‑60%
ED    3,AD 82,53,84,6,162,82003,FALSE,FALSE,0.5185185185185185,0.3271604938271605,0.037037037037037035,Cuomo,Cuomo 40‑60%
ED    3,AD 83,61,156,2,256,83003,FALSE,FALSE,0.609375,0.23828125,0.0078125,Cuomo,Cuomo 60‑80%
ED    3,AD 84,64,77,1,149,84003,FALSE,FALSE,0.5167785234899329,0.42953020134228187,0.006711409395973154,Cuomo,Cuomo 40‑60%
ED    3,AD 85,62,81,1,164,85003,FALSE,FALSE,0.49390243902439024,0.3780487804878049,0.006097560975609756,Cuomo,Cuomo 40‑60%
ED    3,AD 86,3,5,0,8,86003,FALSE,FALSE,0.625,0.375,0,Cuomo,Cuomo 60‑80%
ED    3,AD 87,29,63,0,98,87003,FALSE,FALSE,0.6428571428571429,0.29591836734693877,0,Cuomo,Cuomo 60‑80%
ED    4,AD 23,42,158,25,244,23004,FALSE,FALSE,0.6475409836065574,0.1721311475409836,0.10245901639344263,Cuomo,Cuomo 60‑80%
ED    4,AD 24,70,50,0,122,24004,FALSE,FALSE,0.4098360655737705,0.5737704918032787,0,Mamdani,Mamdani 40‑60%
ED    4,AD 25,59,53,4,126,25004,FALSE,FALSE,0.42063492063492064,0.46825396825396826,0.031746031746031744,Mamdani,Mamdani 40‑60%
ED    4,AD 26,82,39,9,145,26004,FALSE,FALSE,0.2689655172413793,0.5655172413793104,0.06206896551724138,Mamdani,Mamdani 40‑60%
ED    4,AD 27,120,154,68,379,27004,FALSE,FALSE,0.40633245382585753,0.316622691292876,0.17941952506596306,Cuomo,Cuomo 40‑60%
ED    4,AD 28,170,118,43,361,28004,FALSE,FALSE,0.3268698060941828,0.4709141274238227,0.11911357340720222,Mamdani,Mamdani 40‑60%
ED    4,AD 29,68,176,0,264,29004,FALSE,FALSE,0.6666666666666666,0.25757575757575757,0,Cuomo,Cuomo 60‑80%
ED    4,AD 30,142,41,12,208,30004,FALSE,FALSE,0.1971153846153846,0.6826923076923077,0.057692307692307696,Mamdani,Mamdani 60‑80%
ED    4,AD 31,26,84,4,149,31004,FALSE,FALSE,0.5637583892617449,0.174496644295302,0.026845637583892617,Cuomo,Cuomo 40‑60%
ED    4,AD 32,31,5,1,39,32004,FALSE,FALSE,0.1282051282051282,0.7948717948717948,0.02564102564102564,Mamdani,Mamdani 60‑80%
ED    4,AD 33,106,83,15,230,33004,FALSE,FALSE,0.36086956521739133,0.4608695652173913,0.06521739130434782,Mamdani,Mamdani 40‑60%
ED    4,AD 34,278,45,54,399,34004,FALSE,FALSE,0.11278195488721804,0.6967418546365914,0.13533834586466165,Mamdani,Mamdani 60‑80%
ED    4,AD 35,73,63,3,160,35004,FALSE,FALSE,0.39375,0.45625,0.01875,Mamdani,Mamdani 40‑60%
ED    4,AD 36,245,76,59,404,36004,FALSE,FALSE,0.18811881188118812,0.6064356435643564,0.14603960396039603,Mamdani,Mamdani 60‑80%
ED    4,AD 37,127,99,81,340,37004,FALSE,FALSE,0.2911764705882353,0.3735294117647059,0.23823529411764705,Mamdani,Mamdani 0‑40%
ED    4,AD 38,400,41,28,478,38004,FALSE,FALSE,0.08577405857740586,0.8368200836820083,0.058577405857740586,Mamdani,Mamdani 80%+
ED    4,AD 39,248,85,77,442,39004,FALSE,FALSE,0.19230769230769232,0.5610859728506787,0.17420814479638008,Mamdani,Mamdani 40‑60%
ED    4,AD 40,39,42,5,90,40004,FALSE,FALSE,0.4666666666666667,0.43333333333333335,0.05555555555555555,Cuomo,Cuomo 40‑60%
ED    4,AD 41,132,210,22,406,41004,FALSE,FALSE,0.5172413793103449,0.3251231527093596,0.054187192118226604,Cuomo,Cuomo 40‑60%
ED    4,AD 42,295,89,32,452,42004,FALSE,FALSE,0.19690265486725664,0.6526548672566371,0.07079646017699115,Mamdani,Mamdani 60‑80%
ED    4,AD 43,249,126,13,423,43004,FALSE,FALSE,0.2978723404255319,0.5886524822695035,0.030732860520094562,Mamdani,Mamdani 40‑60%
ED    4,AD 44,266,54,97,446,44004,FALSE,FALSE,0.1210762331838565,0.5964125560538116,0.21748878923766815,Mamdani,Mamdani 40‑60%
ED    4,AD 45,71,96,9,189,45004,FALSE,FALSE,0.5079365079365079,0.37566137566137564,0.047619047619047616,Cuomo,Cuomo 40‑60%
ED    4,AD 46,159,54,71,314,46004,FALSE,FALSE,0.17197452229299362,0.5063694267515924,0.22611464968152867,Mamdani,Mamdani 40‑60%
ED    4,AD 47,53,58,6,126,47004,FALSE,FALSE,0.4603174603174603,0.42063492063492064,0.047619047619047616,Cuomo,Cuomo 40‑60%
ED    4,AD 48,18,232,5,286,48004,FALSE,FALSE,0.8111888111888111,0.06293706293706294,0.017482517482517484,Cuomo,Cuomo 80%+
ED    4,AD 49,38,37,4,85,49004,FALSE,FALSE,0.43529411764705883,0.4470588235294118,0.047058823529411764,Mamdani,Mamdani 40‑60%
ED    4,AD 50,454,51,102,640,50004,FALSE,FALSE,0.0796875,0.709375,0.159375,Mamdani,Mamdani 60‑80%
ED    4,AD 51,36,47,4,98,51004,FALSE,FALSE,0.47959183673469385,0.3673469387755102,0.04081632653061224,Cuomo,Cuomo 40‑60%
ED    4,AD 52,0,0,1,1,52004,FALSE,FALSE,0,0,1,Lander,Lander 80%+
ED    4,AD 53,185,20,7,216,53004,FALSE,FALSE,0.09259259259259259,0.8564814814814815,0.032407407407407406,Mamdani,Mamdani 80%+
ED    4,AD 54,86,58,1,158,54004,FALSE,FALSE,0.3670886075949367,0.5443037974683544,0.006329113924050633,Mamdani,Mamdani 40‑60%
ED    4,AD 55,7,5,1,19,55004,FALSE,FALSE,0.2631578947368421,0.3684210526315789,0.05263157894736842,Mamdani,Mamdani 0‑40%
ED    4,AD 56,152,74,11,251,56004,FALSE,FALSE,0.2948207171314741,0.6055776892430279,0.043824701195219126,Mamdani,Mamdani 60‑80%
ED    4,AD 57,36,90,6,153,57004,TRUE,FALSE,0.5882352941176471,0.23529411764705882,0.0392156862745098,Cuomo,Cuomo 40‑60%
ED    4,AD 58,43,122,1,181,58004,FALSE,FALSE,0.6740331491712708,0.23756906077348067,0.0055248618784530384,Cuomo,Cuomo 60‑80%
ED    4,AD 59,64,191,1,289,59004,FALSE,FALSE,0.6608996539792388,0.22145328719723184,0.0034602076124567475,Cuomo,Cuomo 60‑80%
ED    4,AD 60,66,136,4,225,60004,FALSE,FALSE,0.6044444444444445,0.29333333333333333,0.017777777777777778,Cuomo,Cuomo 60‑80%
ED    4,AD 61,59,139,2,218,61004,FALSE,FALSE,0.6376146788990825,0.2706422018348624,0.009174311926605505,Cuomo,Cuomo 60‑80%
ED    4,AD 62,16,34,0,56,62004,FALSE,FALSE,0.6071428571428571,0.2857142857142857,0,Cuomo,Cuomo 60‑80%
ED    4,AD 63,89,50,4,154,63004,FALSE,FALSE,0.3246753246753247,0.577922077922078,0.025974025974025976,Mamdani,Mamdani 40‑60%
ED    4,AD 64,32,42,7,87,64004,FALSE,FALSE,0.4827586206896552,0.367816091954023,0.08045977011494253,Cuomo,Cuomo 40‑60%
ED    4,AD 65,152,96,75,352,65004,FALSE,FALSE,0.2727272727272727,0.4318181818181818,0.21306818181818182,Mamdani,Mamdani 40‑60%
ED    4,AD 66,137,215,159,570,66004,FALSE,FALSE,0.37719298245614036,0.24035087719298245,0.2789473684210526,Cuomo,Cuomo 0‑40%
ED    4,AD 67,146,202,180,590,67004,FALSE,FALSE,0.3423728813559322,0.24745762711864408,0.3050847457627119,Cuomo,Cuomo 0‑40%
ED    4,AD 68,140,80,21,295,68004,FALSE,FALSE,0.2711864406779661,0.4745762711864407,0.0711864406779661,Mamdani,Mamdani 40‑60%
ED    4,AD 69,30,74,1,127,69004,TRUE,FALSE,0.5826771653543307,0.23622047244094488,0.007874015748031496,Cuomo,Cuomo 40‑60%
ED    4,AD 70,219,83,30,340,70004,FALSE,FALSE,0.24411764705882352,0.6441176470588236,0.08823529411764706,Mamdani,Mamdani 60‑80%
ED    4,AD 71,376,138,254,858,71004,FALSE,FALSE,0.16083916083916083,0.4382284382284382,0.29603729603729606,Mamdani,Mamdani 40‑60%
ED    4,AD 72,294,106,162,624,72004,FALSE,FALSE,0.16987179487179488,0.47115384615384615,0.25961538461538464,Mamdani,Mamdani 40‑60%
ED    4,AD 73,221,119,98,472,73004,FALSE,FALSE,0.2521186440677966,0.4682203389830508,0.2076271186440678,Mamdani,Mamdani 40‑60%
ED    4,AD 74,141,107,57,331,74004,FALSE,FALSE,0.32326283987915405,0.4259818731117825,0.17220543806646527,Mamdani,Mamdani 40‑60%
ED    4,AD 75,33,132,65,251,75004,FALSE,FALSE,0.5258964143426295,0.13147410358565736,0.2589641434262948,Cuomo,Cuomo 40‑60%
ED    4,AD 76,101,229,61,410,76004,FALSE,FALSE,0.5585365853658537,0.24634146341463414,0.14878048780487804,Cuomo,Cuomo 40‑60%
ED    4,AD 77,38,16,3,63,77004,FALSE,FALSE,0.25396825396825395,0.6031746031746031,0.047619047619047616,Mamdani,Mamdani 60‑80%
ED    4,AD 78,31,78,1,118,78004,FALSE,FALSE,0.6610169491525424,0.2627118644067797,0.00847457627118644,Cuomo,Cuomo 60‑80%
ED    4,AD 79,25,45,0,82,79004,FALSE,FALSE,0.5487804878048781,0.3048780487804878,0,Cuomo,Cuomo 40‑60%
ED    4,AD 80,42,30,5,86,80004,FALSE,FALSE,0.3488372093023256,0.4883720930232558,0.05813953488372093,Mamdani,Mamdani 40‑60%
ED    4,AD 81,20,83,2,117,81004,TRUE,FALSE,0.7094017094017094,0.17094017094017094,0.017094017094017096,Cuomo,Cuomo 60‑80%
ED    4,AD 82,70,78,1,167,82004,FALSE,FALSE,0.46706586826347307,0.41916167664670656,0.005988023952095809,Cuomo,Cuomo 40‑60%
ED    4,AD 83,40,132,3,201,83004,FALSE,FALSE,0.6567164179104478,0.19900497512437812,0.014925373134328358,Cuomo,Cuomo 60‑80%
ED    4,AD 84,59,74,4,144,84004,FALSE,FALSE,0.5138888888888888,0.4097222222222222,0.027777777777777776,Cuomo,Cuomo 40‑60%
ED    4,AD 85,77,74,5,172,85004,FALSE,FALSE,0.43023255813953487,0.4476744186046512,0.029069767441860465,Mamdani,Mamdani 40‑60%
ED    4,AD 86,15,39,0,60,86004,FALSE,FALSE,0.65,0.25,0,Cuomo,Cuomo 60‑80%
ED    4,AD 87,50,79,0,134,87004,FALSE,FALSE,0.5895522388059702,0.373134328358209,0,Cuomo,Cuomo 40‑60%
